# Word pool seeded into the `words` table on first boot.
# Format: word,category,difficulty   (difficulty: 1 easy, 2 medium, 3 hard)
# Lines starting with # and blank lines are ignored.
# Edit freely - WordSeeder inserts any word not already in the table, so adding
# lines here and restarting is enough to extend the pool.
dog,animals,1
cat,animals,1
fish,animals,1
frog,animals,1
bat,animals,1
owl,animals,1
monkey,animals,2
tiger,animals,1
panda,animals,1
zebra,animals,1
snail,animals,1
spider,animals,2
penguin,animals,2
dolphin,animals,2
elephant,animals,2
giraffe,animals,2
kangaroo,animals,2
butterfly,animals,3
squirrel,animals,2
hedgehog,animals,2
flamingo,animals,2
crocodile,animals,3
octopus,animals,2
jellyfish,animals,3
starfish,animals,2
rhinoceros,animals,3
chameleon,animals,3
peacock,animals,2
camel,animals,1
whale,animals,1
shark,animals,1
caterpillar,animals,3
pizza,food,1
burger,food,2
banana,food,2
cheese,food,2
carrot,food,2
honey,food,1
soup,food,1
mango,food,1
taco,food,1
sushi,food,1
waffle,food,2
popcorn,food,2
pancake,food,2
cupcake,food,2
doughnut,food,2
sandwich,food,2
noodles,food,2
spaghetti,food,3
lollipop,food,2
pretzel,food,2
biscuit,food,2
avocado,food,2
coconut,food,2
mushroom,food,2
strawberry,food,3
watermelon,food,3
pineapple,food,3
chocolate,food,3
ice cream,food,3
samosa,food,2
cherry,food,2
pumpkin,food,2
key,objects,1
clock,objects,1
candle,objects,2
mirror,objects,2
camera,objects,2
hammer,objects,2
ladder,objects,2
bucket,objects,2
broom,objects,1
wallet,objects,2
pillow,objects,2
magnet,objects,2
anchor,objects,2
battery,objects,2
funnel,objects,2
whistle,objects,2
trophy,objects,2
stapler,objects,2
balloon,objects,2
kite,objects,1
envelope,objects,2
scissors,objects,2
backpack,objects,2
umbrella,objects,2
suitcase,objects,2
telephone,objects,3
lightbulb,objects,3
telescope,objects,3
toothbrush,objects,3
microscope,objects,3
paintbrush,objects,3
padlock,objects,2
compass,objects,2
vacuum,objects,2
guitar,objects,2
cloud,nature,1
moon,nature,1
star,nature,1
tree,nature,1
leaf,nature,1
river,nature,1
forest,nature,2
desert,nature,2
island,nature,2
cactus,nature,2
canyon,nature,2
meadow,nature,2
glacier,nature,2
iceberg,nature,2
volcano,nature,2
rainbow,nature,2
tornado,nature,2
mountain,nature,2
waterfall,nature,3
lightning,nature,3
snowflake,nature,3
sunflower,nature,3
earthquake,nature,3
coral reef,nature,3
thunderstorm,nature,3
van,vehicles,1
taxi,vehicles,1
truck,vehicles,1
train,vehicles,1
ferry,vehicles,1
canoe,vehicles,1
rocket,vehicles,2
tractor,vehicles,2
scooter,vehicles,2
sailboat,vehicles,2
bicycle,vehicles,2
airplane,vehicles,2
ambulance,vehicles,3
submarine,vehicles,3
bulldozer,vehicles,3
helicopter,vehicles,3
motorcycle,vehicles,3
skateboard,vehicles,3
wheelchair,vehicles,3
hot air balloon,vehicles,3
golf,sports,1
chess,sports,1
boxing,sports,2
tennis,sports,2
hockey,sports,2
karate,sports,2
skiing,sports,2
surfing,sports,2
bowling,sports,2
archery,sports,2
cricket,sports,2
cycling,sports,2
football,sports,2
baseball,sports,2
marathon,sports,2
wrestling,sports,3
badminton,sports,3
volleyball,sports,3
basketball,sports,3
gymnastics,sports,3
drum,entertainment,1
piano,entertainment,1
violin,entertainment,2
trumpet,entertainment,3
movie,entertainment,1
circus,entertainment,2
clown,entertainment,1
puppet,entertainment,2
robot,entertainment,1
pirate,entertainment,2
wizard,entertainment,2
dragon,entertainment,2
ghost,entertainment,1
alien,entertainment,1
vampire,entertainment,3
mermaid,entertainment,3
unicorn,entertainment,3
magician,entertainment,3
theatre,entertainment,3
superhero,entertainment,3
running,actions,3
dancing,actions,3
singing,actions,3
cooking,actions,3
fishing,actions,3
reading,actions,3
sleeping,actions,3
painting,actions,3
jumping,actions,3
laughing,actions,3
crying,actions,2
sneezing,actions,3
yawning,actions,3
juggling,actions,3
climbing,actions,3
digging,actions,3
hugging,actions,3
waving,actions,2
knitting,actions,3
skating,actions,3
diving,actions,2
texting,actions,3
snoring,actions,3
whispering,actions,3
shrugging,actions,3
farm,places,1
cave,places,1
beach,places,1
tunnel,places,2
castle,places,2
bridge,places,2
igloo,places,1
market,places,2
church,places,2
library,places,2
stadium,places,2
airport,places,2
museum,places,2
hospital,places,2
windmill,places,2
pyramid,places,2
treehouse,places,3
playground,places,3
lighthouse,places,3
skyscraper,places,3
hat,clothing,1
tie,clothing,1
socks,clothing,1
boots,clothing,1
gloves,clothing,2
scarf,clothing,1
crown,clothing,1
mask,clothing,1
apron,clothing,1
helmet,clothing,2
sandals,clothing,2
pajamas,clothing,2
raincoat,clothing,2
t-shirt,clothing,3
sunglasses,clothing,3
